No,Kab/Kota,RS Umum,RS Khusus,Total
1,Kabupaten,Bogor,26,9,35
2,Sukabumi,7,0,7
3,Cianjur,5,0,5
4,Bandung,10,0,10
5,Garut,9,1,10
6,Tasikmalaya,6,1,7
7,Ciamis,5,0,5
8,Kuningan,11,0,11
9,Cirebon,12,0,12
10,Majalengka,5,0,5
11,Sumedang,3,0,3
12,Indramayu,11,1,12
13,Subang,7,1,8
14,Purwakarta,9,1,10
15,Karawang,20,1,21
16,Bekasi,40,17,57
17,Bandung Barat,7,4,11
18,Pangandaran,1,0,1
19,Kota,Bogor,21,1,22
20,Sukabumi,6,0,6
21,Bandung,28,10,38
22,Cirebon,11,0,11
23,Bekasi,27,3,30
24,Depok,17,1,18
25,Cimahi,5,0,5
26,Tasikmalaya,8,2,10
27,Banjar,4,0,4

